"metrics","mean","sd","type","frag","k"
"AUC",0.999601518983693,0.014,"{1,2}-mer","10000 bp","3"
"AUC",0.988378679464176,0.0060,"{1,3}-mer","10000 bp","4"
"AUC",0.989296172996966,0.0021061,"{3,1}-mer","10000 bp","4"
"AUC",0.999369852353056,0.0044,"{2,1}-mer","10000 bp","3"
"AUC",0.989429300244277,0.0021,"{2,2}-mer","10000 bp","4"
"AUC",0.99960726431322,0.0014,"{1,2}-mer","5000 bp","3"
"AUC",0.966758699924064,0.0067,"{1,3}-mer","5000 bp","4"
"AUC",0.965849319349568,0.0060,"{3,1}-mer","5000 bp","4"
"AUC",0.978340354166241,0.001,"{2,1}-mer","5000 bp","3"
"AUC",0.936843704652009,0.0042,"{2,2}-mer","5000 bp","4"
"AUC",0.999304348578761,0.009,"{1,2}-mer","3000 bp","3"
"AUC",0.942320612787749,0.006,"{1,3}-mer","3000 bp","4"
"AUC",0.906217991571302,0.007,"{3,1}-mer","3000 bp","4"
"AUC",0.999320612787749,0.001,"{2,1}-mer","3000 bp","3"
"AUC",0.929490118135963,0.001,"{2,2}-mer","3000 bp","4"
"AUC",0.999304348578761,0.002,"{1,2}-mer","1000 bp","3"
"AUC",0.973623706357611,0.007,"{1,3}-mer","1000 bp","4"
"AUC",0.925862511947984,0.003,"{3,1}-mer","1000 bp","4"
"AUC",0.999288783122573,0.001,"{2,1}-mer","1000 bp","3"
"AUC",0.999884,0.0061,"{2,2}-mer","1000 bp","4"
"AUC",0.99960726431322,0.00061,"{1,2}-mer","500 bp","3"
"AUC",0.986758699924064,0.00612,"{1,3}-mer","500 bp","4"
"AUC",0.924874963663979,0.0012,"{3,1}-mer","500 bp","4"
"AUC",0.996976039118703,0.00761,"{2,1}-mer","500 bp","3"
"AUC",0.973316176478876,0.0011,"{2,2}-mer","500 bp","4"
"AUC",0.826205179925243,0.00612,"{0,2}-mer","500 bp","2"
"AUC",0.894990877750106,0.00612,"{0,3}-mer","500 bp","3"
"AUC",0.859977150090223,0.00612,"{0,4}-mer","500 bp","4"
"AUC",0.626205179925243,0.00674,"{0,2}-mer","5000 bp","2"
"AUC",0.726367476835902,0.00604,"{0,3}-mer","5000 bp","3"
"AUC",0.834336061893567,0.0067,"{0,4}-mer","5000 bp","4"
"AUC",0.604951540975346,0.0001,"{0,2}-mer","1000 bp","2"
"AUC",0.761677866619452,0.006,"{0,3}-mer","1000 bp","3"
"AUC",0.876543476607578,0.006,"{0,4}-mer","1000 bp","4"
"AUC",0.814693099283435,0.0007,"{0,2}-mer","3000 bp","2"
"AUC",0.811264034382402,0.0014,"{0,3}-mer","3000 bp","3"
"AUC",0.811932627712875,0.00611,"{0,4}-mer","3000 bp","4"
"AUC",0.67818622682433,0.0023,"{0,2}-mer","10000 bp","2"
"AUC",0.840908435835909,0.00161,"{0,3}-mer","10000 bp","3"
"AUC",0.862153130561981,0.002,"{0,4}-mer","10000 bp","4"
