"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"(3,1)-mer",0.716239500203056,0.730480799294361,0.735271633677197,0.744778253898404,0.749409415606155,0.703859235836626,0.733525583018337,0.695988577204252,0.743527137800877,0.758596100422737,0.73114798420674,0.65770882841698,0.72816846017588,0.735730500069011,0.707518917780534,0.719929017472126,0.74378229336717,0.724341830098819,0.727357530162558,0.77086673963117,0.738120837157337,0.701762923731328,0.746754675132672,0.74021247129824,0.734981600661073,0.730566700624605,0.74561510293121,0.778559344538167,0.748900999656611,0.758752294289868,0.697392778547832,0.726307795574059,0.754670785458628,0.750478648107226,0.741201085018347,0.684022895474122,0.714131751289614,0.713886676997032,0.730039629020518,0.675013945611431,0.758256107073288,0.708738653598954,0.741539357957757,0.76786919152699,0.718834344184418,0.719962440845974,0.740824347912414,0.7079243643618,0.737287085634332,0.740253052623599
"(1,2)-mer", 0.702129789411311,0.668710255674677,0.753434271168922,0.720888070215138,0.686182614389198,0.78920421875919,0.661834491911323,0.742346742382844,0.765201338076412,0.759494366291831,0.650599091565847,0.819606096921567,0.676053816493,0.759449009093107,0.712869145697788,0.817991417132065,0.839656171202984,0.666572429768327,0.708616702063366,0.700290432982156,0.833843952926136,0.746956847663517,0.798554262978178,0.719879452205594,0.641525578310647,0.733938103032796,0.804351545460289,0.700414006994994,0.734563209662792,0.714585400567787,0.801440145028294,0.85461459045724,0.86954824159027,0.739347069617365,0.812932524975475,0.773400063805118,0.742488908893744,0.77391665756146,0.63902440808166,0.75482214230117,0.807922405777049,0.847730902225765,0.797952377673106,0.722375707700736,0.758221269610742,0.840145836078702,0.597565113021074,0.655996355265665,0.677081492583158,0.785631453446832
"(2,1)-mer", 0.697895921915968,0.73973640214436,0.708377662746561,0.730104217922461,0.742418571893433,0.746996596656912,0.731764942426716,0.774947919439964,0.700647974131908,0.757210646219886,0.733173689230268,0.753495671484503,0.748845012222834,0.721376493922345,0.731467042838014,0.766464832034179,0.745260706928738,0.756359560827583,0.760063952929255,0.72944938015377,0.733075691797994,0.729273804489589,0.729566579439828,0.737996993733801,0.770447167835805,0.775518972049269,0.788426255181126,0.71887199640989,0.742961908472141,0.772469819251325,0.72975094348432,0.739300768576204,0.733261668917756,0.806453278262391,0.699530836730683,0.739136186306384,0.725832867515043,0.728333406525895,0.776948977789606,0.729754204573577,0.738100734512539,0.738673310555286,0.712282367419608,0.770179870515943,0.744140489661122,0.732306989826941,0.741774694454304,0.761969269151279,0.803420108591819,0.734303952309209
"(0,2)-mer",0.629137943753832,0.596542465545747,0.576896553691781,0.617160626110223,0.608950178281848,0.608350791578734,0.606062703391605,0.575178823321506,0.631820466986951,0.654772896173334,0.636396847605587,0.596743974109173,0.601072343272717,0.621158769536263,0.61249837803751,0.621303167387307,0.611929215359841,0.570958988764057,0.60790578108707,0.62253388161931,0.596195459977653,0.626952330877503,0.605777531087576,0.568791154499359,0.657518412369908,0.620547520540875,0.623125325379637,0.61765643011615,0.632547225775976,0.646817319482078,0.585359498136569,0.611846513560692,0.615194326171981,0.590279824645277,0.626219341382189,0.62679324506874,0.623417314388391,0.634923558124701,0.609699369628805,0.615932146682329,0.594135929023086,0.579784362177536,0.648565074871662,0.586163098004546,0.582909384259047,0.610556961469987,0.616487978124117,0.624933696810813,0.593591896857013,0.555883375134846
"(0,3)-mer",0.590742636548044,0.701910615497415,0.671449267883854,0.619620938197007,0.627791929193583,0.584207882297968,0.599991791937595,0.601835665953016,0.623278514893391,0.634298079064714,0.637865345065979,0.642906487756721,0.65493153450157,0.622237172592434,0.635658330323165,0.693879104587722,0.646306862116908,0.652398354751395,0.639783009793252,0.60191704413301,0.659848517921689,0.633936882069158,0.607839258920021,0.68756240414175,0.61499737667243,0.679555627884857,0.681827488344438,0.64391845006004,0.593285200898812,0.617395727989723,0.659968349315451,0.607723352721943,0.630116532823417,0.636159139351838,0.658697668946378,0.61712163811762,0.591174109737315,0.651836581390944,0.662756012556149,0.625255556146991,0.649706669309945,0.594047804332947,0.59637784366079,0.680092361795632,0.638070478339964,0.669863150410172,0.665710006879696,0.679735636107862,0.629026319219224,0.603234162186288
"(0,4)-mer",0.690099902612279,0.688184934409901,0.704925679507708,0.694303027650221,0.706550657018875,0.714132984159457,0.707621655612083,0.689498910454762,0.696097205552415,0.700897629662873,0.703537819857599,0.706709548348634,0.679975470991409,0.690703546166178,0.700974053720588,0.706239958769109,0.690451369215731,0.704534728602121,0.703506137094384,0.705659823277448,0.701720022209121,0.710032719879806,0.697541066317105,0.695187783891452,0.69417177675125,0.708155423243725,0.682719640776294,0.710300900908978,0.678046229175901,0.705081024735812,0.69909321200563,0.699506164136022,0.699609424308618,0.684572999470394,0.695926105924336,0.712472551683704,0.717027986558721,0.690092340649707,0.688468274860794,0.702672443890994,0.701930647777881,0.689165394100153,0.695677859417675,0.702991577593503,0.689402304625543,0.707053438977266,0.708435969289009,0.712423395900937,0.705577180734577,0.710860400778091
"(1,3)-mer",0.677227157657216,0.724314634700396,0.723062421908485,0.727796821237874,0.682725133371912,0.753959779769629,0.661858154687768,0.775190022955141,0.673652986648016,0.686138403169926,0.691749777367814,0.724863832501569,0.7013790165001,0.675630429127683,0.677406772741766,0.742966453754918,0.684730936875164,0.66622166429918,0.67717952608694,0.712992896263897,0.690550323412795,0.721344299314976,0.717195106587035,0.6803200313342,0.706422130943771,0.695389174051622,0.686383631278438,0.717160856427862,0.710986861274446,0.716890350464905,0.71147125426344,0.716944506803794,0.721063214666649,0.735549608600396,0.750440180109974,0.692881601941651,0.706972579472509,0.71739545601596,0.715502875742415,0.699152623614657,0.725376768438654,0.725050050718504,0.730873952629494,0.705352433255475,0.736418135173903,0.686438806485903,0.73563658723723,0.647756811774697,0.695566506426324,0.704457782815161
"(2,2)-mer",0.696206606580956,0.696936793395556,0.696469467330365,0.700442578902741,0.701342620973164,0.702007896645813,0.700455308190559,0.700164106787821,0.702412843495221,0.69509940759067,0.698623730593584,0.702028311838835,0.702691292151926,0.696913520943137,0.700819033963157,0.69880026787758,0.698414027132931,0.701054999183924,0.701281448799037,0.699664910157543,0.701042700622993,0.701907327048587,0.700942395580083,0.70152410782437,0.698718280255179,0.70000313315076,0.699996924446484,0.698657596708947,0.697908771386406,0.696315246001442,0.701903594676382,0.702353735877737,0.697909988165977,0.696993108661866,0.700662001087731,0.699589429558757,0.697107410355611,0.700663618311598,0.697445659397587,0.701069525028317,0.698189382997732,0.705644987562652,0.703356883304896,0.700944042890811,0.701653463887611,0.697836608828019,0.704808181868118,0.703131154425186,0.698585825612167,0.698721491266163
"(1,3)-mer",0.711579003312073,0.712298145180648,0.70600959793923,0.712090216970719,0.709749441539628,0.711539083363869,0.70546855080535,0.712158363105359,0.708396189619984,0.71017376006818,0.713359533033129,0.710873877731602,0.705672628910587,0.708862421595026,0.710997141524519,0.708848506320004,0.714320068128387,0.711355878551533,0.705275569941788,0.712495522336729,0.71189703319058,0.706828183614734,0.711739427448875,0.71314967796091,0.708466674403395,0.711432149098339,0.712128152724946,0.70609506627131,0.709480443360977,0.709607112872166,0.714568204120089,0.713742818732747,0.710195319500199,0.712792466808562,0.709992174107563,0.711543074480614,0.707625229405944,0.711235097597201,0.708104334724615,0.710428606318551,0.710329711550609,0.712334376475725,0.708347678917354,0.709210613363659,0.71179814341508,0.713316696490781,0.711322274447149,0.709927346332152,0.706297201527147,0.708373040211156
"2-FFP",0.616553374071873,0.597672664840746,0.63480369009422,0.616759403027634,0.598591192295997,0.615865911325378,0.568316242760928,0.647800914202801,0.625521941209036,0.624606930993361,0.605358881671821,0.6083935673155,0.615645846153957,0.656868437385145,0.629583333994525,0.638982378939272,0.632856274430935,0.601625442818398,0.603684897426917,0.635162730059959,0.588627210449877,0.601255096087447,0.579195288294214,0.60557208812382,0.595459242719674,0.617154928725207,0.614307717632183,0.606624618816335,0.608406123787871,0.569804465556391,0.617693188125537,0.583829760550033,0.596224129457549,0.582331810721672,0.605113388730174,0.60287610722732,0.623930418405734,0.634769244768566,0.595719118202256,0.603066695893688,0.60999351965523,0.593728443595881,0.579600744579758,0.566664139225356,0.593779767269796,0.578066774492931,0.589243943043801,0.61621318257974,0.582212004046523,0.611057600900055
